"Date","Time","DateTime","LWP","Plant_ID"
"29/10/2024","07:15:00",2024-10-29 07:15:00,-0.12,1
"29/10/2024","07:30:00",2024-10-29 07:30:00,-0.16,1
"29/10/2024","07:45:00",2024-10-29 07:45:00,-0.22,1
"29/10/2024","08:00:00",2024-10-29 08:00:00,-0.18,1
"29/10/2024","08:15:00",2024-10-29 08:15:00,-0.32,1
"29/10/2024","08:30:00",2024-10-29 08:30:00,-0.47,1
"29/10/2024","08:45:00",2024-10-29 08:45:00,-0.64,1
"29/10/2024","09:00:00",2024-10-29 09:00:00,-0.71,1
"29/10/2024","09:15:00",2024-10-29 09:15:00,-0.71,1
"29/10/2024","09:30:00",2024-10-29 09:30:00,-0.66,1
"29/10/2024","09:45:00",2024-10-29 09:45:00,-0.7,1
"29/10/2024","10:00:00",2024-10-29 10:00:00,-0.81,1
"29/10/2024","10:15:00",2024-10-29 10:15:00,-0.72,1
"29/10/2024","10:30:00",2024-10-29 10:30:00,-0.74,1
"29/10/2024","10:45:00",2024-10-29 10:45:00,-0.84,1
"29/10/2024","11:00:00",2024-10-29 11:00:00,-1.04,1
"29/10/2024","11:15:00",2024-10-29 11:15:00,-0.84,1
"29/10/2024","11:30:00",2024-10-29 11:30:00,-0.79,1
"29/10/2024","11:45:00",2024-10-29 11:45:00,-0.78,1
"29/10/2024","12:00:00",2024-10-29 12:00:00,-0.83,1
"29/10/2024","12:15:00",2024-10-29 12:15:00,-1.14,1
"29/10/2024","12:30:00",2024-10-29 12:30:00,-0.82,1
"29/10/2024","12:45:00",2024-10-29 12:45:00,-0.89,1
"29/10/2024","13:00:00",2024-10-29 13:00:00,-0.93,1
"29/10/2024","13:15:00",2024-10-29 13:15:00,-0.95,1
"29/10/2024","13:30:00",2024-10-29 13:30:00,-0.81,1
"29/10/2024","13:45:00",2024-10-29 13:45:00,-0.86,1
"29/10/2024","14:00:00",2024-10-29 14:00:00,-0.99,1
"29/10/2024","14:15:00",2024-10-29 14:15:00,-1.05,1
"29/10/2024","14:30:00",2024-10-29 14:30:00,-1.01,1
"29/10/2024","14:45:00",2024-10-29 14:45:00,-1.06,1
"29/10/2024","15:00:00",2024-10-29 15:00:00,-1.11,1
"29/10/2024","15:15:00",2024-10-29 15:15:00,-0.95,1
"29/10/2024","15:30:00",2024-10-29 15:30:00,-0.93,1
"29/10/2024","15:45:00",2024-10-29 15:45:00,-0.97,1
"29/10/2024","16:00:00",2024-10-29 16:00:00,-0.99,1
"29/10/2024","16:15:00",2024-10-29 16:15:00,-1.05,1
"29/10/2024","16:30:00",2024-10-29 16:30:00,-1.12,1
"29/10/2024","16:45:00",2024-10-29 16:45:00,-1,1
"29/10/2024","17:00:00",2024-10-29 17:00:00,-0.89,1
"29/10/2024","17:15:00",2024-10-29 17:15:00,-0.91,1
"29/10/2024","17:30:00",2024-10-29 17:30:00,-0.87,1
"29/10/2024","17:45:00",2024-10-29 17:45:00,-0.88,1
"29/10/2024","18:00:00",2024-10-29 18:00:00,-0.9,1
"29/10/2024","18:15:00",2024-10-29 18:15:00,-0.89,1
"29/10/2024","18:30:00",2024-10-29 18:30:00,-0.97,1
"29/10/2024","18:45:00",2024-10-29 18:45:00,-0.93,1
"29/10/2024","19:00:00",2024-10-29 19:00:00,-0.97,1
"29/10/2024","19:15:00",2024-10-29 19:15:00,-0.82,1
"29/10/2024","19:30:00",2024-10-29 19:30:00,-0.84,1
"29/10/2024","19:45:00",2024-10-29 19:45:00,-0.74,1
