"Date","Time","Weight","DateTime","Plant_ID"
2024-10-30,"00:02:58",1158.7,2024-10-30 00:02:58,4
2024-10-30,"00:17:58",1157.7,2024-10-30 00:17:58,4
2024-10-30,"00:32:58",1157.7,2024-10-30 00:32:58,4
2024-10-30,"00:47:58",1157.7,2024-10-30 00:47:58,4
2024-10-30,"01:02:58",1156.7,2024-10-30 01:02:58,4
2024-10-30,"01:17:58",1156.7,2024-10-30 01:17:58,4
2024-10-30,"01:32:58",1156.7,2024-10-30 01:32:58,4
2024-10-30,"01:47:58",1156.7,2024-10-30 01:47:58,4
2024-10-30,"02:02:58",1155.7,2024-10-30 02:02:58,4
2024-10-30,"02:17:58",1155.7,2024-10-30 02:17:58,4
2024-10-30,"02:32:58",1155.7,2024-10-30 02:32:58,4
2024-10-30,"02:47:58",1155.7,2024-10-30 02:47:58,4
2024-10-30,"03:02:58",1154.7,2024-10-30 03:02:58,4
2024-10-30,"03:17:58",1154.7,2024-10-30 03:17:58,4
2024-10-30,"03:32:58",1154.7,2024-10-30 03:32:58,4
2024-10-30,"03:47:58",1154.7,2024-10-30 03:47:58,4
2024-10-30,"04:02:58",1154.7,2024-10-30 04:02:58,4
2024-10-30,"04:17:58",1153.7,2024-10-30 04:17:58,4
2024-10-30,"04:32:58",1153.7,2024-10-30 04:32:58,4
2024-10-30,"04:47:58",1153.7,2024-10-30 04:47:58,4
2024-10-30,"05:02:58",1153.7,2024-10-30 05:02:58,4
2024-10-30,"05:17:58",1153.7,2024-10-30 05:17:58,4
2024-10-30,"05:32:58",1152.7,2024-10-30 05:32:58,4
2024-10-30,"05:47:58",1152.7,2024-10-30 05:47:58,4
2024-10-30,"06:02:58",1152.7,2024-10-30 06:02:58,4
2024-10-30,"06:17:58",1152.7,2024-10-30 06:17:58,4
2024-10-30,"06:32:58",1151.7,2024-10-30 06:32:58,4
2024-10-30,"06:47:58",1151.7,2024-10-30 06:47:58,4
2024-10-30,"07:02:58",1150.6,2024-10-30 07:02:58,4
2024-10-30,"07:17:58",1149.6,2024-10-30 07:17:58,4
2024-10-30,"07:32:58",1147.6,2024-10-30 07:32:58,4
2024-10-30,"07:47:58",1146.6,2024-10-30 07:47:58,4
2024-10-30,"08:02:58",1145.6,2024-10-30 08:02:58,4
2024-10-30,"08:17:58",1144.6,2024-10-30 08:17:58,4
2024-10-30,"08:32:58",1142.6,2024-10-30 08:32:58,4
2024-10-30,"08:47:58",1141.6,2024-10-30 08:47:58,4
2024-10-30,"09:02:58",1140.5,2024-10-30 09:02:58,4
2024-10-30,"09:17:58",1138.5,2024-10-30 09:17:58,4
2024-10-30,"09:32:58",1137.5,2024-10-30 09:32:58,4
2024-10-30,"09:47:58",1135.5,2024-10-30 09:47:58,4
2024-10-30,"10:02:58",1133.5,2024-10-30 10:02:58,4
2024-10-30,"10:17:58",1132.5,2024-10-30 10:17:58,4
2024-10-30,"10:32:58",1130.4,2024-10-30 10:32:58,4
2024-10-30,"10:47:58",1129.4,2024-10-30 10:47:58,4
2024-10-30,"11:02:58",1127.4,2024-10-30 11:02:58,4
2024-10-30,"11:17:58",1125.4,2024-10-30 11:17:58,4
2024-10-30,"11:32:58",1123.4,2024-10-30 11:32:58,4
2024-10-30,"11:47:58",1121.4,2024-10-30 11:47:58,4
2024-10-30,"12:02:58",1119.3,2024-10-30 12:02:58,4
2024-10-30,"12:17:58",1117.3,2024-10-30 12:17:58,4
2024-10-30,"12:32:58",1115.3,2024-10-30 12:32:58,4
2024-10-30,"12:47:58",1113.3,2024-10-30 12:47:58,4
2024-10-30,"13:02:58",1111.3,2024-10-30 13:02:58,4
2024-10-30,"13:17:58",1109.2,2024-10-30 13:17:58,4
2024-10-30,"13:32:58",1106.2,2024-10-30 13:32:58,4
2024-10-30,"13:47:58",1104.2,2024-10-30 13:47:58,4
2024-10-30,"14:02:58",1102.2,2024-10-30 14:02:58,4
2024-10-30,"14:17:58",1100.1,2024-10-30 14:17:58,4
2024-10-30,"14:32:58",1097.1,2024-10-30 14:32:58,4
2024-10-30,"14:47:58",1095.1,2024-10-30 14:47:58,4
2024-10-30,"15:02:58",1093.1,2024-10-30 15:02:58,4
2024-10-30,"15:17:58",1091.1,2024-10-30 15:17:58,4
2024-10-30,"15:32:58",1089,2024-10-30 15:32:58,4
2024-10-30,"15:47:58",1087,2024-10-30 15:47:58,4
2024-10-30,"16:02:58",1085,2024-10-30 16:02:58,4
2024-10-30,"16:17:58",1204.9,2024-10-30 16:17:58,4
2024-10-30,"16:32:58",1203.4,2024-10-30 16:32:58,4
2024-10-30,"16:47:58",1201.4,2024-10-30 16:47:58,4
2024-10-30,"17:02:58",1199.3,2024-10-30 17:02:58,4
2024-10-30,"17:17:58",1197.3,2024-10-30 17:17:58,4
2024-10-30,"17:32:58",1196.3,2024-10-30 17:32:58,4
2024-10-30,"17:47:58",1194.3,2024-10-30 17:47:58,4
2024-10-30,"18:02:58",1192.3,2024-10-30 18:02:58,4
2024-10-30,"18:17:58",1190.3,2024-10-30 18:17:58,4
2024-10-30,"18:32:58",1189.2,2024-10-30 18:32:58,4
2024-10-30,"18:47:58",1187.2,2024-10-30 18:47:58,4
2024-10-30,"19:02:58",1185.2,2024-10-30 19:02:58,4
2024-10-30,"19:17:58",1183.2,2024-10-30 19:17:58,4
2024-10-30,"19:32:58",1182.2,2024-10-30 19:32:58,4
2024-10-30,"19:47:58",1180.2,2024-10-30 19:47:58,4
2024-10-30,"20:02:58",1178.1,2024-10-30 20:02:58,4
2024-10-30,"20:17:58",1176.1,2024-10-30 20:17:58,4
2024-10-30,"20:32:58",1175.1,2024-10-30 20:32:58,4
2024-10-30,"20:47:58",1173.1,2024-10-30 20:47:58,4
2024-10-30,"21:02:58",1172.1,2024-10-30 21:02:58,4
2024-10-30,"21:17:58",1170.1,2024-10-30 21:17:58,4
2024-10-30,"21:32:58",1169,2024-10-30 21:32:58,4
2024-10-30,"21:47:58",1167,2024-10-30 21:47:58,4
2024-10-30,"22:02:58",1166,2024-10-30 22:02:58,4
2024-10-30,"22:17:58",1165,2024-10-30 22:17:58,4
2024-10-30,"22:32:58",1163,2024-10-30 22:32:58,4
2024-10-30,"22:47:58",1162,2024-10-30 22:47:58,4
2024-10-30,"23:02:58",1162,2024-10-30 23:02:58,4
2024-10-30,"23:17:58",1162,2024-10-30 23:17:58,4
2024-10-30,"23:32:58",1162,2024-10-30 23:32:58,4
2024-10-30,"23:47:58",1162,2024-10-30 23:47:58,4
2024-10-31,"00:02:58",1161,2024-10-31 00:02:58,4
2024-10-31,"00:17:58",1161,2024-10-31 00:17:58,4
2024-10-31,"00:32:58",1161,2024-10-31 00:32:58,4
2024-10-31,"00:47:58",1161,2024-10-31 00:47:58,4
2024-10-31,"01:02:58",1160,2024-10-31 01:02:58,4
2024-10-31,"01:17:58",1160,2024-10-31 01:17:58,4
2024-10-31,"01:32:58",1160,2024-10-31 01:32:58,4
2024-10-31,"01:47:58",1160,2024-10-31 01:47:58,4
2024-10-31,"02:02:58",1159,2024-10-31 02:02:58,4
2024-10-31,"02:17:58",1159,2024-10-31 02:17:58,4
2024-10-31,"02:32:58",1159,2024-10-31 02:32:58,4
2024-10-31,"02:47:58",1159,2024-10-31 02:47:58,4
2024-10-31,"03:02:58",1159,2024-10-31 03:02:58,4
2024-10-31,"03:17:58",1157.9,2024-10-31 03:17:58,4
2024-10-31,"03:32:58",1157.9,2024-10-31 03:32:58,4
