"Plant_ID","DateTime","Measure","Value","PSY","Teros","Treatment","Scale","Plant_name"
3,2024-10-27 06:15:00,"LWP",-0.32,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-27 06:30:00,"LWP",-0.29,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-27 06:45:00,"LWP",-0.32,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-27 07:00:00,"LWP",-0.32,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-27 07:15:00,"LWP",-0.3,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-27 07:30:00,"LWP",-0.3,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-27 07:45:00,"LWP",-0.34,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-27 08:30:00,"LWP",-0.53,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-27 08:45:00,"LWP",-0.63,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-27 09:15:00,"LWP",-0.81,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-27 13:00:00,"LWP",-1.18,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-27 14:15:00,"LWP",-1.15,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-27 14:45:00,"LWP",-1.22,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-27 15:30:00,"LWP",-1.14,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-27 16:45:00,"LWP",-1.08,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-27 17:15:00,"LWP",-1.02,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-27 17:30:00,"LWP",-0.99,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-27 17:45:00,"LWP",-1.01,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-27 18:00:00,"LWP",-1.07,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-27 18:15:00,"LWP",-1,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-27 18:30:00,"LWP",-1,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-27 18:45:00,"LWP",-0.98,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-27 19:00:00,"LWP",-1,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-27 19:15:00,"LWP",-0.91,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-27 19:30:00,"LWP",-0.84,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-27 19:45:00,"LWP",-0.76,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-27 20:00:00,"LWP",-0.94,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-27 20:15:00,"LWP",-0.77,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-27 20:30:00,"LWP",-0.84,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-27 21:00:00,"LWP",-0.86,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-27 21:15:00,"LWP",-0.81,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-27 21:30:00,"LWP",-0.76,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-27 22:00:00,"LWP",-0.82,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-27 22:30:00,"LWP",-0.78,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-27 22:45:00,"LWP",-0.75,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-28,"LWP",-0.66,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-28 00:15:00,"LWP",-0.51,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-28 00:30:00,"LWP",-0.41,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-28 00:45:00,"LWP",-0.33,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-28 01:00:00,"LWP",-0.3,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-28 01:15:00,"LWP",-0.23,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-28 01:30:00,"LWP",-0.22,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-28 01:45:00,"LWP",-0.2,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-28 02:00:00,"LWP",-0.2,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-28 02:15:00,"LWP",-0.16,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-28 02:30:00,"LWP",-0.13,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-28 02:45:00,"LWP",-0.11,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-28 03:00:00,"LWP",-0.1,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-28 03:15:00,"LWP",-0.09,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-28 03:30:00,"LWP",-0.07,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-28 03:45:00,"LWP",-0.06,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-28 04:00:00,"LWP",-0.04,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-28 04:15:00,"LWP",-0.05,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-28 04:30:00,"LWP",-0.03,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-28 04:45:00,"LWP",-0.01,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-28 05:00:00,"LWP",-0.01,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-28 05:30:00,"LWP",-0.01,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-28 05:45:00,"LWP",0,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-28 08:45:00,"LWP",-0.44,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-28 09:00:00,"LWP",-0.45,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-28 09:15:00,"LWP",-0.64,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-28 09:30:00,"LWP",-0.49,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-28 09:45:00,"LWP",-0.52,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
